address,account_type,loya_balance,loya_balance_trb,last_updated
tellor1qma4ngrq2vqz6j82u548lder3ue6m25agqv9rt,BaseAccount,12955126,12.955126,2025-06-24T14:33:08.767899+00:00
tellor1q7pamj7v8d3wue5t5pwgejktajrnhuzzthwfel,BaseAccount,8932732,8.932732,2025-06-24T14:33:08.767899+00:00
tellor1p8xk2xqwgszmerk83dvjszddp5adqs5hwaupjt,BaseAccount,500000,0.5,2025-06-24T14:33:08.767899+00:00
tellor1pwqdg0yk3wxlhrddpkuuhkh5tx94clxth2t5vq,BaseAccount,999995,0.999995,2025-06-24T14:33:08.767899+00:00
tellor1pn5yc5vdesc6ef05dge95axza5leyy37f7wg8p,BaseAccount,9668420,9.66842,2025-06-24T14:33:08.767899+00:00
tellor1p7y0yvqnw3ajjq6vsjv7yahsvjxs6ahhs5lxq7,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor1zy50vdk8fdae0var2ryjhj2ysxtcm8dp2qtckd,BaseAccount,9000000,9.0,2025-06-24T14:33:08.767899+00:00
tellor1zgan0w9a88r2drnqcgm535lmxrm05wg5cc6xsd,ModuleAccount(tips_escrow_pool),7149721261,7149.721261,2025-06-24T14:33:08.767899+00:00
tellor1zhg69su8p5zplr7jkzkav7874ekncn83592rlk,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor1zlefkpe3g0vvm9a4h0jf9000lmqutlh9mp9v2w,ModuleAccount(bridge),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor1rdwhf536fkj7yuj68vnaruexdea4mnrd3d42ya,BaseAccount,89496000,89.496,2025-06-24T14:33:08.767899+00:00
tellor1r3ewzegjg277jfg0eyyp7x5alvlkskw92khl2f,BaseAccount,1500000,1.5,2025-06-24T14:33:08.767899+00:00
tellor1r7z4xnhawm4ztmhrzdn3mgek0enp9pqvv2yzxy,BaseAccount,9000,0.009,2025-06-24T14:33:08.767899+00:00
tellor1y7y66xp3vrn8e6k4vxa7ygh7judy2jx40r2ktw,BaseAccount,650156,0.650156,2025-06-24T14:33:08.767899+00:00
tellor198dvh9n2d7aqvrxzcsdfz73xtkv9jcjv5rakr6,BaseAccount,91965643,91.965643,2025-06-24T14:33:08.767899+00:00
tellor19gz7emq3a8f49tf372g0ctnydd6ugh9ygy98fj,BaseAccount,4699798,4.699798,2025-06-24T14:33:08.767899+00:00
tellor1938h80mmea97qf8r0w9d4y7trtk5ra5l64fyvg,BaseAccount,25665985,25.665985,2025-06-24T14:33:08.767899+00:00
tellor19jca9zrsqhwxex54z3kwvyv6w8hmmpve8ulq8t,BaseAccount,3232137,3.232137,2025-06-24T14:33:08.767899+00:00
tellor19nffr28nwars3gaqux823xq64yp25a375hx7h5,BaseAccount,4999980,4.99998,2025-06-24T14:33:08.767899+00:00
tellor1952ghnp9jat6eraqakdjruplrj9c40f0tn5jld,BaseAccount,128528985,128.528985,2025-06-24T14:33:08.767899+00:00
tellor1xyxd7x9yjfh0ad6mg3wfyczwmandzj7qlgl3ug,BaseAccount,2001661,2.001661,2025-06-24T14:33:08.767899+00:00
tellor1xmjtvg7tmtn4d0cf5uv3rwd64yz40l7awcnl22,BaseAccount,2999960,2.99996,2025-06-24T14:33:08.767899+00:00
tellor1gwnhmewdnvn6thexv5fqfwy537pvmezj64x2mm,BaseAccount,9610713,9.610713,2025-06-24T14:33:08.767899+00:00
tellor1gnr3smk3yvqrzfpgdz492u23gtkn4aasgyfyj6,BaseAccount,29619846,29.619846,2025-06-24T14:33:08.767899+00:00
tellor1gkstv3n4cpmdskh4m8mhr2mlljf540sqsm7gnp,BaseAccount,93149903,93.149903,2025-06-24T14:33:08.767899+00:00
tellor1fqghwt2h3jkm5nw0ju5rzt7x80x5eyptufj6h3,BaseAccount,1000065,1.000065,2025-06-24T14:33:08.767899+00:00
tellor1fl48vsnmsdzcv85q5d2q4z5ajdha8yu34ds5rz,ModuleAccount(bonded_tokens_pool),9090728959,9090.728959,2025-06-24T14:33:08.767899+00:00
tellor12vz6z5er29rwthuqlscqtuqfttl6x2wshfsyj2,BaseAccount,2,2e-06,2025-06-24T14:33:08.767899+00:00
tellor12lxd34vvnkjk5j5dfqwwxch89uvhvhj6y36xaq,BaseAccount,5000000,5.0,2025-06-24T14:33:08.767899+00:00
tellor1tzchu68gv96wq0stee7kg7c05g6r43k40vfzcg,BaseAccount,980,0.00098,2025-06-24T14:33:08.767899+00:00
tellor1tygms3xhhs3yv487phx3dw4a95jn7t7lpdv94k,ModuleAccount(not_bonded_tokens_pool),977166053,977.166053,2025-06-24T14:33:08.767899+00:00
tellor1tf45m2r8x30zmpytlddhfu450eg9s5ad2upq9y,BaseAccount,3756388,3.756388,2025-06-24T14:33:08.767899+00:00
tellor1vzp25djcsjt7lmpgqvys7rqjfg0k4ytkmm8n7r,BaseAccount,449945395,449.945395,2025-06-24T14:33:08.767899+00:00
tellor1vw2yy9nf3wz7hey89tpw5hn0yr3hkrzt889x47,BaseAccount,214279378,214.279378,2025-06-24T14:33:08.767899+00:00
tellor1vk2f5m4jsezgaq9tlu2fhq7t94xpykjlmqcn5k,BaseAccount,107994804,107.994804,2025-06-24T14:33:08.767899+00:00
tellor1vm3awjytk37znyy0p0xhtmztw72g4yamq5wyf9,BaseAccount,89907863,89.907863,2025-06-24T14:33:08.767899+00:00
tellor1vm72um55v6jcc259wt6dpqckdl8cfhpmfltd5q,BaseAccount,39999981,39.999981,2025-06-24T14:33:08.767899+00:00
tellor1d0t6p47asr8p9smeq9a93qhmfgtwmcagtyv5hw,BaseAccount,2555072,2.555072,2025-06-24T14:33:08.767899+00:00
tellor1dn2kyjpyx4ns7ecu9m2wx72rdxz208x32x589d,BaseAccount,48899910,48.89991,2025-06-24T14:33:08.767899+00:00
tellor1d526tw7sf8fy35lz644uxeh68he0c5w6xsekaf,BaseAccount,2999855,2.999855,2025-06-24T14:33:08.767899+00:00
tellor10zjsg0205re8g74t6qqqd0jh4nm8cuyy4nw99g,BaseAccount,2783597,2.783597,2025-06-24T14:33:08.767899+00:00
tellor10raclec2n0e0xxlayhcqn6632zp2gr27l5v9vf,BaseAccount,9394336,9.394336,2025-06-24T14:33:08.767899+00:00
tellor10d07y265gmmuvt4z0w9aw880jnsr700j6527vx,ModuleAccount(gov),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor10hjky3kdxxu5eqjh290ltc2tlvgj5rgsll4rl8,BaseAccount,6390000,6.39,2025-06-24T14:33:08.767899+00:00
tellor10usyr7v4xe2uhtnvg4kwtgtuzh5e4u2378zjj9,BaseAccount,200433880,200.43388,2025-06-24T14:33:08.767899+00:00
tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,BaseAccount,2340000,2.34,2025-06-24T14:33:08.767899+00:00
tellor1srsvq5facrpzdsmc32nn2rdzfg0mrlk3xk5tuz,BaseAccount,4699690,4.69969,2025-06-24T14:33:08.767899+00:00
tellor13nwzm5dfd26ue74jr6sc39gyn3qze0rj8jferl,BaseAccount,4,4e-06,2025-06-24T14:33:08.767899+00:00
tellor1352g2lt8h2r86k88vmnkhse9s056gn8cv0vuhd,BaseAccount,34635684,34.635684,2025-06-24T14:33:08.767899+00:00
tellor1364k288xd4r0gxlnk2rve5fm3qxamdtted7v4t,ModuleAccount(time_based_rewards),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor13lqwnpnclcg6x0hrn5t72xxa8hy9ws7hljs537,BaseAccount,1776618,1.776618,2025-06-24T14:33:08.767899+00:00
tellor13l5f93zutylh847cnmd2rpg6hha86dju649964,BaseAccount,14720250,14.72025,2025-06-24T14:33:08.767899+00:00
tellor1jgp27m8fykex4e4jtt0l7ze8q528ux2l38pvhu,ModuleAccount(oracle),25323201,25.323201,2025-06-24T14:33:08.767899+00:00
tellor1jv65s3grqf6v6jl3dp4t6c9t9rk99cd88fa8n2,ModuleAccount(distribution),2632347000,2632.347,2025-06-24T14:33:08.767899+00:00
tellor1j4efgzq92x2txwjz3nj7mcuctjhhl35h9m8mfx,BaseAccount,299970,0.29997,2025-06-24T14:33:08.767899+00:00
tellor1n8a2au0p0w49rctey3mxh3kajsdqtdyp4vrtfz,BaseAccount,6157037,6.157037,2025-06-24T14:33:08.767899+00:00
tellor1ncq34psgcmncf3xpugdyqfv8esj8rj7sjflkuy,BaseAccount,11340957,11.340957,2025-06-24T14:33:08.767899+00:00
tellor15fem3fyv9rv4tdl6kgrdj2fqqwv4p3sycgglxh,BaseAccount,9143963,9.143963,2025-06-24T14:33:08.767899+00:00
tellor15edk9n3g7h052uen6rm99ckpc75p3vlfzsf5jr,BaseAccount,99000000,99.0,2025-06-24T14:33:08.767899+00:00
tellor15ap5jyn02a6s45qsgk5dqc5zu09ma50nrepq2v,BaseAccount,100234811,100.234811,2025-06-24T14:33:08.767899+00:00
tellor15a4l8qg5ccsrsmnsylskkqk8qrmeudr4hav5fp,BaseAccount,499970,0.49997,2025-06-24T14:33:08.767899+00:00
tellor14874aky5afw60wlukkgvc5fqcm68825t6j2qj8,BaseAccount,26511420,26.51142,2025-06-24T14:33:08.767899+00:00
tellor14cey4y879j4c8xl964j7ulwxu5dulttfx7vfs4,BaseAccount,500000,0.5,2025-06-24T14:33:08.767899+00:00
tellor14uunlpuap72k584770kpvlq72u7z488kemgwsx,BaseAccount,84017088,84.017088,2025-06-24T14:33:08.767899+00:00
tellor1kxchhyvpc6mz7y8sc8vr8peqqle820awm59qgd,BaseAccount,6788902,6.788902,2025-06-24T14:33:08.767899+00:00
tellor1k8v5l8spru8hc58nr84nmumdm83j3cuz4ecpl6,BaseAccount,46647997,46.647997,2025-06-24T14:33:08.767899+00:00
tellor1h2ekr5q6aydeedcdzrf6gdwetsygqyepgp4yzx,BaseAccount,143295,0.143295,2025-06-24T14:33:08.767899+00:00
tellor1hn5ue2fw2lhsvtw85ltfd8ffuvpr2utk5tkxp2,BaseAccount,950000,0.95,2025-06-24T14:33:08.767899+00:00
tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,BaseAccount,102668646,102.668646,2025-06-24T14:33:08.767899+00:00
tellor1hu8vk2zzyety0j4c88vpyfew8rc7frqnjf63nm,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor1cmt5j83q77mvu7m7g3mz6cvkgm4tq2zcv9tmpx,BaseAccount,9997982,9.997982,2025-06-24T14:33:08.767899+00:00
tellor1et4y07sgf2z39wlptxmfu5nvhrjwhjgdsyp5qj,ModuleAccount(dispute),9217161,9.217161,2025-06-24T14:33:08.767899+00:00
tellor1edr39pfjd2j0l7335dx2zkgk5zmtl5cwnuh6xw,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor16s8w4jxfnmefyvkmxrmd8w47uk6ycz2338a92h,BaseAccount,1000000,1.0,2025-06-24T14:33:08.767899+00:00
tellor1my9clensgv58mqhrknczqlje43sqzhyyazvsq3,BaseAccount,7141475,7.141475,2025-06-24T14:33:08.767899+00:00
tellor1mtfcujfwtk5kdcf7svnwj6ucfnv9s0v0phhsht,BaseAccount,40257544,40.257544,2025-06-24T14:33:08.767899+00:00
tellor1m3h30wlvsf8llruxtpukdvsy0km2kum8g87ra4,ModuleAccount(mint),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor1mjm4y9fe3avqkh8g0z4zwtjrmcvxw2ee0x7pjs,BaseAccount,20824397,20.824397,2025-06-24T14:33:08.767899+00:00
tellor1mkl462wk4q64825ce5escjcg0l3p5j2n3hu8h9,BaseAccount,4000000,4.0,2025-06-24T14:33:08.767899+00:00
tellor1m6tuy2ek06yptcyhtd3t7h54uvv3wxgvmjckt9,BaseAccount,827786497,827.786497,2025-06-24T14:33:08.767899+00:00
tellor1uasku64eztzzwne8gx58kzxkfn5lu803ekfqpn,BaseAccount,154920240,154.92024,2025-06-24T14:33:08.767899+00:00
tellor1a60lcwf7l0h6grhxjkskd4m304tl69sffxlda3,BaseAccount,28022798,28.022798,2025-06-24T14:33:08.767899+00:00
tellor17xpfvakm2amg962yls6f84z3kell8c5ls06m3g,ModuleAccount(fee_collector),80,8e-05,2025-06-24T14:33:08.767899+00:00
tellor17gc67q05d5rgsz9caznm0s7s5eazwg2e3fkk8e,BaseAccount,239394182,239.394182,2025-06-24T14:33:08.767899+00:00
tellor1lzv8ufuz2zu8f37wz8vy2sluljn3saap07vpek,BaseAccount,6993823,6.993823,2025-06-24T14:33:08.767899+00:00
tellor1ljjks7t8jh0tlvhqzu83hxdej5uuuwzkjdnz8r,BaseAccount,13994975,13.994975,2025-06-24T14:33:08.767899+00:00
